2023-12-17 10:10:33 [root][INFO] 14915(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 10:11:55 [root][INFO] 15705(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 10:16:38 [root][INFO] 17357(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 10:18:59 [root][INFO] 18223(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 10:21:32 [root][INFO] 19379(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 10:23:35 [root][INFO] 20324(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 10:24:42 [root][INFO] 20331(Trluper-7) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 10:25:12 [root][INFO] 21084(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 15:25:25 [root][INFO] 32320(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 15:34:28 [root][INFO] 2732(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 15:37:00 [root][INFO] 3826(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 15:46:53 [root][INFO] 7295(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 15:47:39 [root][INFO] 7299(Trluper-4) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 18:48:08 [root][INFO] 11672(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.112.1

2023-12-17 18:48:08 [root][INFO] 11671(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.112.1

2023-12-17 18:48:26 [root][INFO] 11675(Trluper-4) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.112.1已断开链接

2023-12-17 18:49:40 [root][INFO] 12448(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 18:50:10 [root][INFO] 12453(Trluper-5) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 18:50:19 [root][INFO] 12450(Trluper-2) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 18:50:42 [root][INFO] 12998(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 22:51:14 [root][INFO] 17979(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 22:52:35 [root][INFO] 17984(Trluper-5) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 22:52:50 [root][INFO] 17981(Trluper-2) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 22:53:47 [root][INFO] 17979(Trluper-0) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 22:54:19 [root][INFO] 17980(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 22:54:49 [root][INFO] 17984(Trluper-5) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

